company_name,official_url,recruit_page,medical_keywords,medical_keyword_count,medical_domains,medical_domain_scores,total_medical_score
タカラベルモント,https://www.takarabelmont.co.jp/,https://www.takarabelmont.co.jp/main/recruit/,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
ミナト医科学,https://www.minato-med.co.jp/,https://www.minato-med.co.jp/recruit/new-graduate/,"医療,患者,医療機器",3,医療機器メーカー,{'医療機器メーカー': 1},42
ケイセイ医科工業,https://www.keisei-mk.co.jp/,,,0,,{},12
瑞穂医科工業,https://www.mizuho.co.jp/,https://www.mizuho.co.jp/recruit,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
カイインダストリーズ,https://www.kai-group.com/,https://www.kai-group.com/global/recruit/,,0,,{},12
シスメックス,https://www.sysmex.co.jp/,,,0,,{},12
アズワン,https://www.as-1.co.jp/,https://www.as-1.co.jp/recruit/,"医療,看護",2,,{},30
サクラ精機,https://www.sakuraseiki.com/,,,0,,{},12
日本ストライカー,https://www.stryker.com/jp/ja/index.html,http://careers.stryker.com/,,0,,{},12
平和物産,https://www.heiwa-bussan.co.jp/,https://www.heiwa-bussan.co.jp/recruit/,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
日本エア・リキード,https://industry.airliquide.jp/,,,0,,{},12
日本ベクトン・ディッキンソン,https://www.bd.com/ja-jp,,,0,,{},12
日本クレア,https://www.crea.co.jp/,,,0,,{},12
日本コヴィディエン,https://www.medtronic.com/jp-ja/index.html,https://www.medtronic.com/jp-ja/our-company/careers.html,"医療,患者,ヘルスケア",3,,{},36
日本アルコン,https://www.alcon.co.jp/,https://www.alcon.co.jp/jp-JP/careers/,,0,,{},12
日本ケミカルリサーチ,https://www.ncr.co.jp/,,,0,,{},12
日本ライフライン,https://www.jll.co.jp/,,,0,,{},12
日本シグマックス,https://www.sigmax.co.jp/,,,0,,{},12
日本バイリーン,https://www.vilene.co.jp/,https://recruit.vilene.co.jp/,,0,,{},12
日本メディカルプロダクツ,https://www.nmp.co.jp/,,,1,,{},18
日本医療機器開発機構,https://www.jmdc.co.jp/,https://www.jmdc.co.jp/recruit/,"医療,ヘルスケア,検査,医療データ",4,医療データ・AI,{'医療データ・AI': 1},72
日本医療機器テクノロジー,https://www.jmte.co.jp/,,,1,,{},18
日本医療機器販売協会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器産業連合会,https://www.jfmda.gr.jp/,,,1,,{},18
日本医療機器総合研究所,https://www.jmri.co.jp/,,,1,,{},18
日本医療機器センター,https://www.jmac.or.jp/,,,1,,{},18
